word,alignedWord,start,end,case
you,you,38.38,38.52,success
dont,<unk>,38.52,38.720000000000006,success
remember,remember,38.75,39.26,success
your,your,39.26,39.48,success
former,former,39.49,39.870000000000005,success
life,life,39.87,40.23,success
your,your,41.1,41.26,success
previous,previous,41.26,41.76,success
actions,actions,41.78,42.29,success
affect,affect,42.3,42.699999999999996,success
you,you,42.7,42.830000000000005,success
nonetheless,nonetheless,42.83,43.54,success
And,and,45.46,45.65,success
after,after,45.65,45.96,success
dying,dying,45.96,46.31,success
once,once,46.309999,46.599999,success
more,more,46.599999,46.969998999999994,success
you,you,46.980000000000004,47.160000000000004,success
return,return,47.16,47.63999999999999,success
as,as,47.67,47.88,success
the,the,47.91,48.05,success
third,third,48.09,48.53,success
person,person,48.57,49.09,success
then,then,49.349999,49.559999,success
the,the,49.559999,49.659999,success
fourth,fourth,49.66,50.19,success
the,the,50.29,50.449999999999996,success
fifth,fifth,50.45,50.81,success
and,and,50.809999,50.969998999999994,success
so,so,50.969999,51.219999,success
on,on,51.219999,51.439999,success
living,living,51.71,52.15,success
the,the,52.15,52.26,success
lives,lives,52.260000000000005,52.71000000000001,success
of,of,52.709998999999996,52.86999899999999,success
every,every,52.93,53.33,success
single,single,53.33,53.769999999999996,success
human,human,53.779999000000004,54.239999000000005,success
thats,<unk>,54.239999999999995,54.449999999999996,success
ever,ever,54.57,54.84,success
walked,walked,54.84,55.2,success
the,the,55.24,55.43,success
Earth,earth,55.43,55.72,success
Strung,strung,56.71,57.09,success
end,end,57.09,57.300000000000004,success
to,to,57.3,57.41,success
end,end,57.41,57.76,success
these,these,57.77,58.050000000000004,success
lives,lives,58.05,58.41,success
last,last,58.41,58.739999999999995,success
almost,almost,58.75,59.15,success
trillion,trillion,59.16,59.279999999999994,success
years,years,59.28,59.31,success
Since,since,61.55,61.839999999999996,success
you,you,61.84,62.010000000000005,success
only,only,62.019999999999996,62.4,success
recall,recall,62.4,62.879999999999995,success
the,the,62.889999,63.009999,success
life,life,63.01,63.39,success
youre,<unk>,63.679999,63.689999,success
currently,currently,63.7,64.25,success
living,living,64.26,64.75,success
your,your,65.059999,65.249999,success
psyche,psyche,65.25,65.65,success
doesnt,<unk>,65.92,65.93,success
carry,carry,65.94,66.25,success
the,the,66.25,66.37,success
entire,entire,66.37,66.78,success
weight,weight,66.78,67.12,success
of,of,67.139999,67.299999,success
human,human,67.299999,67.669999,success
history,history,67.67,68.3,success
However,however,68.759999,69.209999,success
each,each,69.27,69.53999999999999,success
of,of,69.53999999999999,69.66999999999999,success
your,your,69.67,69.81,success
lifetimes,lifetimes,69.809999,70.50999900000001,success
still,still,70.559999,71.019999,success
has,has,71.029999,71.199999,success
a,a,71.19999899999999,71.26999899999998,success
profound,profound,71.279999,71.739999,success
impact,impact,71.75,72.24,success
on,on,72.26,72.48,success
your,your,72.51,72.67,success
future,future,72.68,73.19000000000001,success
selves,selves,73.19,73.88,success
Sometimes,sometimes,74.2,74.76,success
your,your,74.76,74.86,success
influence,influence,74.86,75.36,success
on,on,75.36,75.45,success
the,the,75.45,75.54,success
world,world,75.54,75.9,success
is,is,75.91,76.17999999999999,success
obvious,obvious,76.22,76.85,success
but,but,76.89,77.08,success
these,these,77.08,77.38,success
major,major,77.38,77.77,success
historical,historical,77.77,78.3,success
figures,figures,78.3,78.71,success
only,only,78.72,79.0,success
account,account,79.0,79.36,success
for,for,79.38,79.53,success
a,a,79.53,79.61,success
tiny,tiny,79.61,80.07,success
fraction,fraction,80.07,80.61999999999999,success
of,of,80.63,80.78999999999999,success
your,your,80.78999999999999,81.02,success
experience,experience,81.02,81.83999999999999,success
Instead,instead,82.4,82.89,success
your,your,83.13,83.33,success
existence,existence,83.33,83.86,success
consists,consists,83.88,84.44,success
mostly,mostly,84.44,85.00999999999999,success
of,of,85.009999,85.16999899999999,success
ordinary,ordinary,85.19,85.78999999999999,success
lives,lives,85.78999999999999,86.35,success
filled,filled,86.4,86.73,success
with,with,86.73,86.96000000000001,success
everyday,everyday,87.139999,87.579999,success
tasks,tasks,87.58,88.16,success
like,like,88.16,88.44,success
eating,eating,88.5,88.96,success
laughing,laughing,89.1,89.64999999999999,success
working,working,89.67,90.16,success
and,and,90.219999,90.39999900000001,success
worrying,worrying,90.4,90.95,success
For,for,91.3,91.6,success
approximately,approximately,91.6,92.33,success
one,one,92.33,92.62,success
tenth,tenth,92.62,93.01,success
of,of,93.03,93.19,success
your,your,93.19,93.33,success
trillion,,,,not-found-in-audio
years,,,,not-found-in-audio
youre,,,,not-found-in-audio
a,,,,not-found-in-audio
huntergatherer,<unk>,93.33,93.34,success
For,for,93.35,93.67999999999999,success
youre,<unk>,97.97,97.98,success
an,an,97.99,98.14999999999999,success
agriculturalist,<unk>,98.16,99.17999999999999,success
developing,developing,99.28999999999999,99.82,success
tools,tools,99.82,100.22,success
and,and,100.219999,100.389999,success
techniques,techniques,100.389999,100.909999,success
which,which,101.2,101.44,success
you,you,101.44,101.57,success
employ,employ,101.57,102.02999999999999,success
over,over,102.03,102.34,success
roughly,roughly,102.34,102.76,success
billion,billion,103.65,104.02000000000001,success
years,years,104.19,104.64999999999999,success
of,of,104.65,104.85000000000001,success
working,working,104.849999,105.219999,success
on,on,105.219999,105.389999,success
farms,farms,105.389999,105.969999,success
Across,across,106.639999,107.029999,success
your,your,107.029999,107.159999,success
lifetimes,lifetimes,107.16,107.72999999999999,success
you,you,107.73,107.89,success
spend,spend,107.889999,108.229999,success
billion,billion,109.339999,109.62999900000001,success
years,years,109.8,110.16,success
having,having,110.18,110.53,success
sex,sex,110.53,111.02,success
and,and,111.32,111.55999999999999,success
another,another,111.56,111.92,success
million,million,111.93,111.99000000000001,success
years,years,111.99,112.02,success
giving,giving,113.98,114.29,success
birth,birth,114.3,114.73,success
In,in,115.37,115.56,success
total,total,115.58,115.97,success
of,of,116.09,116.11,success
your,your,117.01,117.24000000000001,success
existence,existence,117.24,117.80999999999999,success
is,is,117.83,118.01,success
spent,spent,118.01,118.32000000000001,success
raising,raising,118.33,118.76,success
children,children,118.76,119.30000000000001,success
to,to,119.5,119.59,success
whom,whom,119.599999,119.80999899999999,success
you,you,119.809999,119.95999900000001,success
impart,impart,119.96000000000001,120.31,success
a,a,120.33,120.39999999999999,success
variety,variety,120.4,120.97,success
of,of,120.969999,121.099999,success
cultural,cultural,121.11,121.58,success
values,values,121.58,122.1,success
that,that,122.099999,122.219999,success
influence,influence,122.25,122.77,success
the,the,122.77,122.86,success
trajectory,trajectory,122.86,123.57,success
of,of,123.599999,123.799999,success
generations,generations,123.799999,124.729999,success
In,in,125.07,125.24,success
some,some,125.24,125.46,success
lives,lives,125.459999,125.80999899999999,success
you,you,125.809999,125.95999900000001,success
shatter,shatter,125.959999,126.389999,success
those,those,126.389999,126.609999,success
cultures,cultures,126.629999,127.079999,success
through,through,127.09,127.36,success
invasion,invasion,127.36,127.98,success
and,and,128.15,128.20000000000002,success
imperialism,imperialism,128.2,129.01999999999998,success
In,in,129.59,129.74,success
others,others,129.74,130.11,success
you,you,130.13,130.35,success
suffer,suffer,130.35,130.79999999999998,success
as,as,130.8,131.0,success
your,your,131.0,131.16,success
lands,lands,131.16,131.57,success
and,and,131.57,131.73999999999998,success
loved,loved,131.74,131.98000000000002,success
ones,ones,131.98,132.25,success
are,are,132.25,132.39,success
taken,taken,132.39,132.75,success
away,away,132.75,133.26,success
In,in,133.86,134.02,success
over,over,134.05,134.37,success
of,of,134.38,134.4,success
lives,lives,135.25,135.65,success
youre,<unk>,136.16,136.17,success
afflicted,afflicted,136.17,136.55999999999997,success
with,with,136.559999,136.709999,success
malaria,malaria,136.73,137.31,success
or,or,137.32,137.47,success
smallpox,smallpox,137.469999,138.229999,success
while,while,138.58,138.87,success
in,in,138.87,139.0,success
others,others,139.009999,139.42999899999998,success
you,you,139.559999,139.719999,success
treat,treat,139.719999,139.999999,success
these,these,140.0,140.21,success
conditions,conditions,140.21,140.83,success
saving,saving,140.87,141.32,success
countless,countless,141.339999,141.85999900000002,success
versions,versions,141.87,142.45000000000002,success
of,of,142.469999,142.799999,success
yourself,yourself,142.809999,143.569999,success
In,in,144.629999,144.79999899999999,success
humanitys,<unk>,144.799999,145.37999900000003,success
early,early,145.42000000000002,145.76000000000002,success
days,days,145.76,146.17,success
the,the,146.39,146.55999999999997,success
average,average,146.56,146.96,success
lifespan,lifespan,146.96,147.53,success
is,is,147.56,147.92000000000002,success
fairly,fairly,147.94,148.39,success
short,short,148.39,148.92999999999998,success
There,there,149.12,149.3,success
are,are,149.3,149.44,success
fewer,fewer,149.44,149.76,success
lives,lives,149.76,150.07,success
to,to,150.07,150.18,success
live,live,150.18,150.49,success
and,and,150.73,150.92999999999998,success
your,your,150.93,151.04000000000002,success
influence,influence,151.04,151.53,success
is,is,151.53,151.68,success
usually,usually,151.68,152.08,success
limited,limited,152.08,152.42000000000002,success
to,to,152.429999,152.519999,success
people,people,152.52,152.88000000000002,success
physically,physically,152.88,153.48,success
near,near,153.48,153.89999999999998,success
you,you,153.9,154.26000000000002,success
But,but,154.65,154.84,success
as,as,154.88,155.04999999999998,success
humans,humans,155.05,155.46,success
survive,survive,155.46,155.98000000000002,success
longer,longer,155.98,156.5,success
on,on,156.5,156.69,success
average,average,156.69,157.14,success
and,and,157.15,157.18,success
Earths,<unk>,157.179999,157.489999,success
population,population,157.52,158.15,success
grows,grows,158.15,158.61,success
you,you,158.969999,159.129999,success
start,start,159.13,159.41,success
to,to,159.41,159.52,success
spend,spend,159.52,159.86,success
more,more,159.87,160.18,success
time,time,160.18,160.58,success
reliving,reliving,160.57999999999998,161.07999999999998,success
the,the,161.07999999999998,161.17,success
same,same,161.17000000000002,161.71,success
actionpacked,<unk>,161.84,162.64000000000001,success
years,years,162.65,163.15,success
A,a,163.57,163.66,success
full,full,163.66,164.0,success
third,third,164.04,164.42,success
of,of,164.42,164.54,success
your,your,164.54,164.7,success
existence,existence,164.7,165.23,success
comes,comes,165.26,165.59,success
after,after,165.66,166.13,success
CE,<unk>,166.13,167.29999999999998,success
and,and,167.58,167.72,success
a,a,167.72,167.78,success
quarter,quarter,167.78,168.19,success
of,of,168.19,168.32,success
it,it,168.32,168.44,success
takes,takes,168.49,168.73000000000002,success
place,place,168.73,169.01999999999998,success
after,after,169.1,169.48999999999998,success
At,at,171.37999999999997,171.51,success
this,this,171.54,171.76999999999998,success
point,point,171.76999999999998,172.12999999999997,success
technology,technology,172.24999999999997,172.71999999999997,success
and,and,172.889999,172.92999899999998,success
society,society,172.929999,173.44999900000002,success
start,start,173.45,173.75,success
changing,changing,173.75,174.28,success
faster,faster,174.28,174.76,success
than,than,174.759999,174.909999,success
ever,ever,174.91,175.27,success
You,you,175.599999,175.899999,success
invent,invent,175.9,176.34,success
steam,steam,176.45,176.75,success
engines,engines,176.75,177.24,success
configure,configure,177.24,177.71,success
factories,factories,177.71,178.38,success
and,and,178.379999,178.54999899999999,success
generate,generate,178.549999,179.089999,success
electricity,electricity,179.1,179.92,success
which,which,180.23,180.45,success
power,power,180.449999,180.789999,success
the,the,180.84,180.9,success
daily,daily,180.9,181.25,success
machinery,machinery,181.25,181.86,success
of,of,181.88,182.14,success
all,all,182.15,182.4,success
of,of,182.4,182.53,success
your,your,182.53,182.74,success
later,later,182.74,183.10000000000002,success
lives,lives,183.1,183.71,success
You,you,184.47,184.65,success
live,live,184.65,184.86,success
through,through,184.86,185.14000000000001,success
revolutions,revolutions,185.14,185.92,success
in,in,185.92,186.10999999999999,success
science,science,186.11,186.66000000000003,success
the,the,186.67,186.89,success
deadliest,deadliest,186.89,187.54,success
wars,wars,187.54,187.85999999999999,success
in,in,187.86,188.02,success
history,history,188.02,188.65,success
and,and,188.86,189.01000000000002,success
dramatic,dramatic,189.01,189.59,success
environmental,environmental,189.61,190.39000000000001,success
destruction,destruction,190.4,191.02,success
On,on,191.58,191.77,success
average,average,191.77,192.23000000000002,success
each,each,192.34,192.6,success
new,new,192.62,192.81,success
life,life,192.809999,193.149999,success
lasts,lasts,193.15,193.64000000000001,success
longer,longer,193.639999,194.23999899999998,success
but,but,194.299999,194.44999900000002,success
the,the,194.45,194.53,success
pace,pace,194.53,194.81,success
of,of,194.809999,194.929999,success
your,your,194.929999,195.049999,success
existence,existence,195.049999,195.589999,success
keeps,keeps,195.589999,195.959999,success
accelerating,accelerating,195.96,196.81,success
Conversations,conversations,197.309999,197.969999,success
that,that,197.969999,198.119999,success
previously,previously,198.129999,198.749999,success
took,took,198.75,198.95,success
months,months,198.969999,199.369999,success
to,to,199.39,199.51999999999998,success
unfold,unfold,199.52,200.04000000000002,success
now,now,200.29,200.6,success
happen,happen,200.6,201.03,success
in,in,201.04,201.26,success
minutes,minutes,201.27,201.79000000000002,success
Business,business,202.22,202.60999999999999,success
ventures,ventures,202.61,203.0,success
that,that,203.0,203.13,success
you,you,203.13,203.29999999999998,success
built,built,203.3,203.59,success
over,over,203.6,203.85999999999999,success
generations,generations,203.86,204.75,success
transform,transform,205.87,206.49,success
overnight,overnight,206.5,207.12,success
You,you,207.33,207.56,success
enjoy,enjoy,207.57,207.98,success
luxuries,luxuries,207.99,208.65,success
you,you,208.65,208.87,success
never,never,208.88,209.32,success
could,could,209.32,209.44,success
have,have,209.44,209.57999999999998,success
sampled,sampled,209.58,209.96,success
before,before,209.98,210.39,success
even,even,210.389999,210.699999,success
in,in,210.7,210.79999999999998,success
your,your,210.799999,210.969999,success
past,past,210.98,211.35,success
lives,lives,211.349999,211.709999,success
as,as,211.73,211.92,success
kings,kings,211.92,212.38,success
and,and,212.38,212.57999999999998,success
queens,queens,212.58,213.24,success
After,after,214.799999,215.16999900000002,success
living,living,215.17000000000002,215.50000000000003,success
over,over,215.51,215.85999999999999,success
billion,billion,216.80999999999997,217.33999999999997,success
lives,lives,217.33999999999997,217.85,success
youre,<unk>,218.44,218.45,success
finally,finally,218.45,218.86999999999998,success
reborn,reborn,218.87,219.39000000000001,success
as,as,219.4,219.56,success
the,the,219.59,219.77,success
youngest,youngest,219.78,220.27,success
person,person,220.28,220.75,success
alive,alive,220.76,221.31,success
today,today,221.31,221.75,success
But,but,222.01,222.17999999999998,success
despite,despite,222.18,222.61,success
living,living,222.62,222.89000000000001,success
through,through,222.89,223.11999999999998,success
years,years,223.13,223.16,success
of,of,224.309999,224.429999,success
human,human,224.429999,224.69999900000002,success
history,history,224.7,225.17,success
your,your,225.61,225.83,success
actions,actions,225.83,226.31,success
have,have,226.309999,226.509999,success
more,more,226.51,226.81,success
impact,impact,226.82,227.29,success
today,today,227.37,227.84,success
than,than,228.09,228.31,success
of,of,228.309999,228.32999900000002,success
your,your,229.469999,229.759999,success
past,past,229.78,230.29,success
lives,lives,230.29,230.95999999999998,success
Highspeed,<unk>,231.54,231.98999999999998,success
air,air,232.0,232.17,success
travel,travel,232.17000000000002,232.56,success
allows,allows,232.57,232.94,success
you,you,232.940001,233.08000099999998,success
to,to,233.07999999999998,233.23,success
carry,carry,233.26,233.64999999999998,success
contagions,<unk>,233.68,234.55,success
and,and,234.76,235.01999999999998,success
cures,cures,235.029999,235.599999,success
across,across,235.88,236.24,success
an,an,236.24,236.38,success
ocean,ocean,236.38,236.78,success
in,in,236.79,237.09,success
hours,hours,237.13,237.66,success
And,and,237.88,238.04,success
the,the,238.04,238.10999999999999,success
internet,internet,238.12,238.49,success
makes,makes,238.49,238.75,success
your,your,238.75,238.92,success
personal,personal,238.94,239.42,success
sphere,sphere,239.43,239.76000000000002,success
of,of,239.76,239.85999999999999,success
influence,influence,239.86,240.56,success
global,global,240.61,241.18,success
allowing,allowing,241.49,241.87,success
you,you,241.87,242.01,success
to,to,242.01,242.12,success
collaborate,collaborate,242.12,242.65,success
with,with,242.65,242.85,success
anyone,anyone,242.98,243.45999999999998,success
anywhere,anywhere,243.55,244.08,success
without,without,244.139999,244.509999,success
even,even,244.53,244.8,success
leaving,leaving,244.809999,245.249999,success
your,your,245.25,245.44,success
home,home,245.45,245.89999999999998,success
In,in,246.639999,246.83999899999998,success
recent,recent,246.84,247.19,success
lives,lives,247.19,247.53,success
youve,<unk>,247.71,247.77,success
invented,invented,247.77,248.20000000000002,success
tools,tools,248.2,248.54,success
to,to,248.54,248.70999999999998,success
rewrite,rewrite,248.71,249.18,success
the,the,249.179999,249.299999,success
genes,genes,249.299999,249.719999,success
of,of,249.719999,249.919999,success
living,living,249.92,250.23,success
organisms,organisms,250.23,250.92999999999998,success
permanently,permanently,251.549999,252.16999900000002,success
altering,altering,252.18,252.67000000000002,success
their,their,252.67000000000002,252.84,success
future,future,252.84,253.25,success
generations,generations,253.27,253.98000000000002,success
And,and,254.61,254.79000000000002,success
in,in,254.79,254.91,success
this,this,254.94,255.21,success
life,life,255.21,255.49,success
you,you,255.49,255.62,success
might,might,255.62,255.82,success
create,create,255.82,256.23,success
even,even,256.26,256.57,success
more,more,256.57,256.79,success
technologies,technologies,256.79,257.53000000000003,success
that,that,257.53,257.66999999999996,success
make,make,257.67,257.86,success
the,the,257.86,257.93,success
world,world,257.93,258.25,success
safer,safer,258.25,258.77,success
kinder,kinder,258.96,259.46,success
and,and,259.69,259.84,success
more,more,259.84,260.02,success
equitable,equitable,260.04,260.55,success
for,for,260.55,260.74,success
countless,countless,260.78,261.25,success
future,future,261.25,261.69,success
lives,lives,261.69,262.04,success
However,however,263.03,263.53999999999996,success
one,one,263.63,264.03,success
careless,careless,264.03,264.40999999999997,success
invention,invention,264.41,265.04,success
could,could,265.049999,265.289999,success
just,just,265.309999,265.679999,success
as,as,265.679999,265.849999,success
easily,easily,265.849999,266.229999,success
be,be,266.25,266.61,success
catastrophic,catastrophic,266.69,267.39,success
Between,between,268.139999,268.53999899999997,success
nuclear,nuclear,268.549999,268.999999,success
weapons,weapons,269.0,269.55,success
lab,lab,269.549999,269.819999,success
leaks,leaks,269.84,270.26,success
climate,climate,270.26,270.61,success
change,change,270.609999,271.02999900000003,success
and,and,271.05,271.22,success
other,other,271.25,271.54,success
existential,existential,271.54,272.17,success
threats,threats,272.17,272.57,success
humanitys,<unk>,272.87,273.4,success
risk,risk,273.42,273.71000000000004,success
of,of,273.71,273.82,success
inducing,inducing,273.82,274.36,success
our,our,274.37,274.61,success
own,own,274.62,274.91,success
extinction,extinction,274.91,275.70000000000005,success
has,has,275.8,276.06,success
never,never,276.06,276.37,success
been,been,276.37,276.58,success
higher,higher,276.58,277.06,success
In,in,277.54,277.68,success
this,this,277.68,277.91,success
fastpaced,<unk>,277.91,278.59000000000003,success
interconnected,interconnected,278.62,279.28000000000003,success
world,world,279.28,279.64,success
its,its,279.969999,280.23999899999995,success
frighteningly,<unk>,280.24,280.91,success
easy,easy,280.91,281.29,success
to,to,281.29,281.44,success
undo,undo,281.509999,281.929999,success
all,all,282.0,282.26,success
of,of,282.259999,282.379999,success
humanitys,<unk>,282.63,282.9,success
progress,progress,282.94,283.53,success
or,or,283.549999,283.759999,success
potentially,potentially,283.759999,284.369999,success
cut,cut,284.37,284.58,success
short,short,284.58,284.90999999999997,success
all,all,284.929999,285.209999,success
your,your,285.21,285.46999999999997,success
possible,possible,285.469999,286.009999,success
futures,futures,286.02,286.65,success
Theres,<unk>,287.369999,287.569999,success
no,no,287.59,287.73999999999995,success
way,way,287.74,287.90000000000003,success
to,to,287.9,288.03,success
know,know,288.029999,288.319999,success
what,what,288.32,288.57,success
will,will,288.57,288.74,success
happen,happen,288.74,289.17,success
next,next,289.17,289.66,success
But,but,289.83000000000004,290.0,success
whats,whats,290.0,290.19,success
clear,clear,290.19,290.58000000000004,success
is,is,290.58000000000004,290.69,success
that,that,290.69,290.72,success
your,your,290.89,291.22999999999996,success
potential,potential,291.23,291.94,success
is,is,292.01,292.34999999999997,success
limitless,limitless,292.35,292.94,success
So,so,293.94,294.25,success
how,how,294.3,294.6,success
will,will,294.6,294.78000000000003,success
you,you,294.78,294.98999999999995,success
spend,spend,294.99,295.52,success
this,this,295.64,296.03,success
life,life,296.03,296.45,success
And,and,296.9,297.10999999999996,success
what,what,297.11,297.3,success
can,can,297.3,297.44,success
you,you,297.44,297.69,success
do,do,297.69,298.02,success
to,to,298.09,298.26,success
work,work,298.26,298.51,success
towards,towards,298.51,298.88,success
a,a,298.889999,298.989999,success
better,better,298.99,299.38,success
future,future,299.38,300.03,success
for,for,300.15,300.37,success
all,all,300.44,300.66,success
your,your,300.66,300.85,success
lives,lives,300.849999,301.20999900000004,success
to,to,301.21,301.31,success
come,come,301.309999,301.599999,success
